Bluetooth,CDMA,Docking Station,External Battery,Fingerprint,Infrared,Installed Memory,Manufacturer_Acer,Manufacturer_Apple,Manufacturer_Asus,Manufacturer_Averatec,Manufacturer_Dell,Manufacturer_Fujitsu,Manufacturer_Gateway,Manufacturer_HP,Manufacturer_Lenovo,Manufacturer_Panasonic,Manufacturer_Sony,Manufacturer_Toshiba,Max Horizontal Resolution,Memory Technology_DDR-SDRAM_(DDRRAM),Memory Technology_DDR2,Memory Technology_SDRAM,Operating System_Mac_OS,Operating System_VistaHB:_Vista_Home_Basic,Operating System_VistaHP:_Vista_Home_Premium,Operating System_VistaUlt:_Vista_Ultimate,Operating System_Vista_Business,Operating System_WinXP,Operating System_WinXP_Pro,Port Replicator,Price,Processor Speed,Processor_AMD Athlon 64x2 Doble Nucleo,Processor_AMD Mobile Sempron,Processor_AMD Turion 64x2,Processor_Intel Celeron,Processor_Intel Core2 Duo,Processor_Intel Core2 Solo,Processor_Intel Pentium Dual-Core,Processor_PowerPC,Subwoofer,Warranty-Days,market_impact,SalesScaled
0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,768,0,1,0,0,0,0,0,1,0,0,0,34650.0,1600.0,0,0,0,0,1,0,0,0,0,365,13.459000000000001,24537.98978
0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,0,0,1,0,0,0,38250.0,1730.0,0,0,0,0,1,0,0,0,0,365,0.0,29936.553689999997
0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0,0,800,0,1,0,0,1,0,0,0,0,0,0,24900.0,1800.0,0,1,0,0,0,0,0,0,0,365,0.0,46079.22985
0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0,0,800,0,1,0,0,1,0,0,0,0,0,0,24950.0,1800.0,0,1,0,0,0,0,0,0,0,365,0.0,46104.96139
0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0,0,800,0,1,0,0,1,0,0,0,0,0,0,26650.0,1800.0,0,1,0,0,0,0,0,0,0,365,0.0,46979.833569999995
0,0,0,0,0,0,512,0,0,0,0,1,0,0,0,0,0,0,0,800,0,1,0,0,1,0,0,0,0,0,0,36450.0,1800.0,0,1,0,0,0,0,0,0,0,365,0.0,52023.214360000005
0,0,0,0,0,0,512,0,0,0,0,1,0,0,0,0,0,0,0,800,0,1,0,0,1,0,0,0,0,0,0,39499.5,1800.0,0,1,0,0,0,0,0,0,0,365,0.0,53592.58066
0,0,0,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,800,0,1,0,0,1,0,0,0,0,0,0,23499.5,1800.0,0,1,0,0,0,0,0,0,0,365,0.0,45358.48957
0,0,1,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,800,0,1,0,0,1,0,0,0,0,0,1,28249.5,1800.0,0,1,0,0,0,0,0,0,0,365,0.0,47802.98536
0,0,1,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,800,0,1,0,0,1,0,0,0,0,0,1,28250.0,1800.0,0,1,0,0,0,0,0,0,0,365,0.17,47605.1546
